epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33648,1.40947,2.87637,1.75396,0.78598,0.66667,0.90277,0.59576,1.52286,1.24164,1.31724,0,0,0
2,2.64309,1.31999,2.70999,1.54255,0.78307,0.66667,0.90367,0.6125,1.53971,1.23691,1.32235,1.17822e-06,1.17822e-06,1.17822e-06
3,3.92005,1.12253,3.32788,1.46567,0.7846,0.66667,0.90386,0.60425,1.55584,1.24249,1.33181,2.33288e-06,2.33288e-06,2.33288e-06
4,5.24347,1.35642,2.78597,1.48049,0.80209,0.68322,0.9268,0.63944,1.57792,1.24496,1.34224,3.46397e-06,3.46397e-06,3.46397e-06
5,6.5831,1.56827,3.2555,1.72598,0.78294,0.66667,0.89991,0.63683,1.59074,1.24133,1.34981,4.5715e-06,4.5715e-06,4.5715e-06
6,7.90135,1.78207,4.31664,2.09551,0.76952,0.66667,0.90053,0.59505,1.60018,1.2548,1.35545,5.65548e-06,5.65548e-06,5.65548e-06
7,9.14572,1.29865,2.23484,1.49914,0.7721,0.66667,0.90063,0.59469,1.61401,1.26153,1.36279,6.71588e-06,6.71588e-06,6.71588e-06
8,10.4792,1.46513,2.95708,1.70236,0.77268,0.66667,0.90084,0.59323,1.62559,1.26566,1.36985,7.75273e-06,7.75273e-06,7.75273e-06
9,11.8231,1.16159,2.87505,1.48357,0.75279,0.66667,0.9021,0.59381,1.6383,1.26641,1.37444,8.76602e-06,8.76602e-06,8.76602e-06
10,13.1261,1.39875,3.57657,1.81454,0.73522,0.66667,0.90315,0.57705,1.64174,1.28624,1.38113,9.75574e-06,9.75574e-06,9.75574e-06
11,14.4261,1.55448,3.14821,1.70492,0.66375,0.7579,0.93082,0.60498,1.651,1.29606,1.38807,1.07219e-05,1.07219e-05,1.07219e-05
12,15.8429,0.954,1.90636,1.4302,0.66281,0.75779,0.93108,0.60219,1.6752,1.30343,1.3989,1.16645e-05,1.16645e-05,1.16645e-05
13,17.2147,1.13021,2.64714,1.35006,0.65741,0.75485,0.93091,0.60219,1.68484,1.31793,1.40292,1.25835e-05,1.25835e-05,1.25835e-05
14,18.4681,1.28023,2.8003,1.70368,0.6605,0.7468,0.93108,0.62165,1.68721,1.33762,1.40862,1.3479e-05,1.3479e-05,1.3479e-05
15,19.8474,0.87319,1.51543,1.13124,0.66574,0.74226,0.93149,0.62198,1.68994,1.35408,1.40881,1.43509e-05,1.43509e-05,1.43509e-05
16,21.1863,1.22645,2.77175,1.60307,0.59609,0.92602,0.93148,0.62228,1.70331,1.37086,1.415,1.51993e-05,1.51993e-05,1.51993e-05
17,22.537,0.88271,2.21399,1.20666,0.61068,0.91163,0.93128,0.62228,1.71572,1.38409,1.41798,1.60241e-05,1.60241e-05,1.60241e-05
18,23.8456,1.1743,1.83985,1.29623,0.61068,0.91163,0.93128,0.62228,1.71572,1.38409,1.41798,1.68253e-05,1.68253e-05,1.68253e-05
19,25.233,1.13065,2.08196,1.30392,0.61704,0.87128,0.92989,0.62189,1.75344,1.41385,1.44001,1.7603e-05,1.7603e-05,1.7603e-05
20,26.5598,0.97703,1.75799,1.31181,0.61704,0.87128,0.92989,0.62189,1.75344,1.41385,1.44001,1.83571e-05,1.83571e-05,1.83571e-05
21,27.8871,1.42015,2.6619,1.84852,0.63006,0.76667,0.93043,0.62195,1.76562,1.45142,1.44226,1.90876e-05,1.90876e-05,1.90876e-05
22,29.1362,1.33629,2.54665,1.70027,0.63006,0.76667,0.93043,0.62195,1.76562,1.45142,1.44226,1.97946e-05,1.97946e-05,1.97946e-05
23,30.5297,1.11438,2.14834,1.53238,0.64488,0.76667,0.93031,0.57642,1.78312,1.4885,1.453,2.0478e-05,2.0478e-05,2.0478e-05
24,31.8052,1.29169,2.44307,1.66508,0.64488,0.76667,0.93031,0.57642,1.78312,1.4885,1.453,2.11379e-05,2.11379e-05,2.11379e-05
25,33.1031,0.94985,1.71187,1.32184,0.64118,0.76667,0.80832,0.55975,1.79512,1.52477,1.45887,2.17741e-05,2.17741e-05,2.17741e-05
26,34.5092,1.02335,1.86956,1.44106,0.64118,0.76667,0.80832,0.55975,1.79512,1.52477,1.45887,2.23869e-05,2.23869e-05,2.23869e-05
